time,open,high,low,close,ema25
2025-10-23 19:10:00,1.16023,1.16029,1.16013,1.16015,1.16015
2025-10-23 19:15:00,1.16014,1.16059,1.15995,1.16014,1.1601492307692307
2025-10-23 19:20:00,1.16013,1.16046,1.16012,1.16026,1.1601577514792898
2025-10-23 19:25:00,1.16024,1.16039,1.16023,1.16039,1.1601756167501136
2025-10-23 19:30:00,1.16038,1.16043,1.1601,1.16014,1.1601728770001047
2025-10-23 19:35:00,1.16006,1.16019,1.16002,1.16006,1.160164194153943
2025-10-23 19:40:00,1.16005,1.16009,1.15971,1.15984,1.1601392561421011
2025-10-23 19:45:00,1.15983,1.15983,1.15948,1.15971,1.1601062364388628
2025-10-23 19:50:00,1.15969,1.1598,1.15945,1.15958,1.1600657567127965
2025-10-23 19:55:00,1.15957,1.15965,1.1593,1.15962,1.1600314677348893
2025-10-23 20:00:00,1.1596,1.15984,1.15957,1.15967,1.1600036625245134
2025-10-23 20:05:00,1.15966,1.15968,1.1594,1.15945,1.1599610730995509
2025-10-23 20:10:00,1.15943,1.15956,1.15938,1.15955,1.1599294520918932
2025-10-23 20:15:00,1.15953,1.15993,1.15949,1.15988,1.1599256480848246
2025-10-23 20:20:00,1.15987,1.15998,1.15968,1.15994,1.1599267520782996
2025-10-23 20:25:00,1.15994,1.16001,1.15983,1.15993,1.1599270019184305
2025-10-23 20:30:00,1.15991,1.15991,1.15966,1.15968,1.159908001770859
2025-10-23 20:35:00,1.15966,1.15994,1.15962,1.15976,1.1598966170192544
2025-10-23 20:40:00,1.15977,1.15977,1.15948,1.15967,1.1598791849408503
2025-10-23 20:45:00,1.15966,1.15974,1.15948,1.15969,1.1598646322530926
2025-10-23 20:50:00,1.15968,1.15968,1.15933,1.15936,1.15982581438747
2025-10-23 20:55:00,1.15934,1.15941,1.1593,1.15936,1.1597899825115108
2025-10-23 21:00:00,1.15935,1.15938,1.1592,1.15929,1.159751522318318
2025-10-23 21:05:00,1.15929,1.15931,1.15921,1.15929,1.1597160206015245
2025-10-23 21:10:00,1.15927,1.15938,1.15921,1.15933,1.1596863267090995
2025-10-23 21:15:00,1.15932,1.15947,1.15927,1.15945,1.1596681477314765
2025-10-23 21:20:00,1.15939,1.15939,1.1592,1.15931,1.1596405979059785
2025-10-23 21:25:00,1.1593,1.1594,1.15914,1.15921,1.159607474990134
2025-10-23 21:30:00,1.1592,1.15936,1.15913,1.1593,1.159583823067816
2025-10-23 21:35:00,1.15927,1.15932,1.15923,1.15927,1.1595596828318302
2025-10-23 21:40:00,1.15927,1.15936,1.15901,1.15901,1.1595173995370742
2025-10-23 21:45:00,1.15897,1.15914,1.15879,1.1589,1.1594699072649917
2025-10-23 21:50:00,1.15889,1.15913,1.15888,1.159,1.1594337605523
2025-10-23 21:55:00,1.159,1.1591,1.15855,1.15879,1.1593842405098154
2025-10-23 22:00:00,1.15877,1.15894,1.15864,1.15877,1.1593369912398297
2025-10-23 22:05:00,1.15878,1.15883,1.15857,1.15872,1.1592895303752273
2025-10-23 22:10:00,1.15871,1.1589,1.15857,1.15873,1.159246489577133
2025-10-23 22:15:00,1.15874,1.15875,1.15854,1.15864,1.1591998365327383
2025-10-23 22:20:00,1.15863,1.15879,1.15861,1.15871,1.1591621567994508
2025-10-23 22:25:00,1.1587,1.15882,1.15865,1.15875,1.1591304524302621
2025-10-23 22:30:00,1.15871,1.15913,1.15857,1.15913,1.1591304176279345
2025-10-23 22:35:00,1.15914,1.15929,1.1589,1.15899,1.1591196162719395
2025-10-23 22:40:00,1.15896,1.15911,1.15892,1.15911,1.1591188765587135
2025-10-23 22:45:00,1.1591,1.15911,1.15894,1.15895,1.1591058860541972
2025-10-23 22:50:00,1.15894,1.15898,1.15883,1.15892,1.1590915871269514
2025-10-23 22:55:00,1.15894,1.15897,1.15865,1.1587,1.1590614650402629
2025-10-23 23:00:00,1.15872,1.15906,1.15872,1.15906,1.159061352344858
2025-10-23 23:05:00,1.1591,1.15932,1.15904,1.15932,1.1590812483183304
2025-10-23 23:10:00,1.15931,1.15936,1.15906,1.15913,1.1590849984476896
2025-10-23 23:15:00,1.15916,1.15926,1.15866,1.15871,1.159056152413252
2025-10-23 23:20:00,1.15873,1.15895,1.15868,1.15873,1.159031063766079
2025-10-23 23:25:00,1.15872,1.15919,1.1587,1.15913,1.1590386742456116
2025-10-23 23:30:00,1.15909,1.15962,1.15909,1.15956,1.1590787762267185
2025-10-23 23:35:00,1.15952,1.15994,1.15952,1.15994,1.1591450242092787
2025-10-23 23:40:00,1.15996,1.16006,1.15978,1.15997,1.1592084838854881
2025-10-23 23:45:00,1.15998,1.16034,1.15996,1.16034,1.1592955235866045
2025-10-23 23:50:00,1.16038,1.16059,1.16028,1.16048,1.1593866371568657
2025-10-23 23:55:00,1.1605,1.16057,1.16,1.16006,1.1594384342986452
2025-10-24 00:00:00,1.16013,1.16026,1.15989,1.15996,1.159478554737211
2025-10-24 00:05:00,1.15991,1.16033,1.15984,1.16006,1.159523281295887
2025-10-24 00:10:00,1.16004,1.16014,1.15991,1.16006,1.1595645673500496
2025-10-24 00:15:00,1.16006,1.16024,1.16003,1.16011,1.1596065237077382
2025-10-24 00:20:00,1.16009,1.16029,1.16,1.16021,1.1596529449609891
2025-10-24 00:25:00,1.16021,1.16046,1.16014,1.16038,1.1597088722716822
2025-10-24 00:30:00,1.16038,1.16084,1.16036,1.16076,1.1597897282507836
2025-10-24 00:35:00,1.16074,1.16105,1.16071,1.16091,1.1598759030007235
2025-10-24 00:40:00,1.16092,1.16092,1.16063,1.16067,1.1599369873852834
2025-10-24 00:45:00,1.16067,1.16072,1.16038,1.16057,1.1599856806633386
2025-10-24 00:50:00,1.16056,1.16071,1.16047,1.16055,1.1600290898430818
2025-10-24 00:55:00,1.16054,1.16083,1.16054,1.16068,1.1600791598551525
2025-10-24 01:00:00,1.1607,1.16108,1.16058,1.16101,1.160150762943218
2025-10-24 01:05:00,1.16102,1.16147,1.16094,1.16132,1.160240704255278
